IndividualID,IndividualDegree,IndividualBetweenness,SumDistance,ExperimentID,ColonyID,NumberWorkers
848,8,18.03673271,35143.62689,Networks-6-3-1,21,27
528,7,16.55629926,70273.66722,Networks-6-3-1,21,27
796,5,5.098412698,86236.8191,Networks-6-3-1,21,27
726,6,9.424314574,45831.18021,Networks-6-3-1,21,27
885,5,7.298015873,90678.44154,Networks-6-3-1,21,27
601,7,15.42454212,211843.3258,Networks-6-3-1,21,27
828,8,14.34280719,38175.09012,Networks-6-3-1,21,27
825,6,7.641483516,150708.3316,Networks-6-3-1,21,27
561,4,3.134126984,259816.295,Networks-6-3-1,21,27
867,5,8.604761905,86522.89908,Networks-6-3-1,21,27
880,5,7.229437229,11029.09912,Networks-6-3-1,21,27
818,10,26.56727717,167833.6817,Networks-6-3-1,21,27
914,5,2.003113553,35867.67202,Networks-6-3-1,21,27
761,6,8.751934177,27255.59033,Networks-6-3-1,21,27
894,6,10.22900433,360274.9362,Networks-6-3-1,21,27
858,9,28.21702464,366791.1349,Networks-6-3-1,21,27
895,3,1.375,201843.8902,Networks-6-3-1,21,27
863,5,7.104761905,263539.6978,Networks-6-3-1,21,27
637,6,8.021642247,295399.7401,Networks-6-3-1,21,27
888,3,2.211544012,31678.75799,Networks-6-3-1,21,27
853,4,3.258766234,127808.17,Networks-6-3-1,21,27
881,6,3.266666667,276967.8196,Networks-6-3-1,21,27
881,4,0.833333333,107620.0162,Networks-6-6-1,22,17
542,5,0.142857143,23756.24053,Networks-6-6-1,22,17
703,8,4.066666667,70950.96515,Networks-6-6-1,22,17
601,5,1.033333333,65789.46339,Networks-6-6-1,22,17
852,11,14.0452381,167888.9983,Networks-6-6-1,22,17
637,7,5.128571429,101634.7718,Networks-6-6-1,22,17
543,9,7.078571429,103012.0527,Networks-6-6-1,22,17
729,3,0,59491.74329,Networks-6-6-1,22,17
2847,7,2.938095238,109574.9527,Networks-6-6-1,22,17
418,3,0,63873.01111,Networks-6-6-1,22,17
453,12,21.32857143,165717.5118,Networks-6-6-1,22,17
765,3,0,101803.9341,Networks-6-6-1,22,17
463,3,0.80952381,106901.7397,Networks-6-6-1,22,17
894,6,0.55952381,76536.80235,Networks-6-6-1,22,17
3116,6,2.035714286,36636.83581,Networks-6-6-1,22,17
594,2,0.9,53344.37744,Networks-6-6-2,23,16
630,6,10.25,155598.7131,Networks-6-6-2,23,16
1152,2,0.5,16303.12851,Networks-6-6-2,23,16
795,3,2.3,101966.4608,Networks-6-6-2,23,16
495,10,31.41111111,92133.26029,Networks-6-6-2,23,16
1166,7,4.716666667,96731.03034,Networks-6-6-2,23,16
605,6,7.544444444,127363.9765,Networks-6-6-2,23,16
1167,4,0.9,128501.2732,Networks-6-6-2,23,16
458,4,8.638888889,68494.36202,Networks-6-6-2,23,16
539,3,0.533333333,74510.01925,Networks-6-6-2,23,16
853,5,6.344444444,55627.42945,Networks-6-6-2,23,16
1162,3,0.466666667,26178.83988,Networks-6-6-2,23,16
895,3,5.727777778,28079.51176,Networks-6-6-2,23,16
633,7,17.53333333,103497.0529,Networks-6-6-2,23,16
825,4,8.227777778,135231.4619,Networks-6-6-2,23,16
822,3,1.005555556,29502.38105,Networks-6-6-2,23,16
570,5,9.333333333,30133.62193,Networks-6-7-1,24,15
419,5,10,11581.48407,Networks-6-7-1,24,15
666,1,0,1272.304995,Networks-6-7-1,24,15
632,4,0.333333333,36122.58759,Networks-6-7-1,24,15
880,1,0,9125.452165,Networks-6-7-1,24,15
459,2,0,21071.55998,Networks-6-7-1,24,15
598,3,0,11603.49799,Networks-6-7-1,24,15
888,1,0,24109.24687,Networks-6-7-1,24,15
422,2,9,6918.263742,Networks-6-7-1,24,15
828,3,16,13258.19364,Networks-6-7-1,24,15
599,7,19.33333333,89979.21345,Networks-6-7-1,24,15
428,9,6.391131907,17933.2013,Networks-6-7-2,25,27
480,14,26.7511087,37314.46219,Networks-6-7-2,25,27
853,4,4.051190476,142933.2201,Networks-6-7-2,25,27
849,6,2.404133775,14217.95043,Networks-6-7-2,25,27
894,7,11.56805498,112517.6486,Networks-6-7-2,25,27
756,11,19.05559408,21009.10735,Networks-6-7-2,25,27
1156,11,9.839000705,17537.61843,Networks-6-7-2,25,27
829,7,6.364285714,173069.277,Networks-6-7-2,25,27
819,9,12.88998918,15377.12129,Networks-6-7-2,25,27
1132,13,36.78723939,15147.72429,Networks-6-7-2,25,27
1133,8,8.749549062,32222.55584,Networks-6-7-2,25,27
1166,4,0.895670996,156828.4237,Networks-6-7-2,25,27
914,11,11.50152886,22145.69713,Networks-6-7-2,25,27
1163,7,5.585664336,17481.57087,Networks-6-7-2,25,27
867,9,3.764180672,28079.88113,Networks-6-7-2,25,27
630,5,3.59042624,73344.16492,Networks-6-7-2,25,27
1167,4,2.041754079,211412.5016,Networks-6-7-2,25,27
1153,4,0.438095238,16047.79283,Networks-6-7-2,25,27
692,6,2.632142857,18793.13739,Networks-6-7-2,25,27
458,6,3.17359944,142013.4414,Networks-6-7-2,25,27
604,10,10.65047257,21403.44307,Networks-6-7-2,25,27
758,6,5.875186741,69495.03656,Networks-6-7-2,25,27
605,1,0,237484.9155,Networks-6-7-2,25,27
797,8,42.63412698,115732.0296,Networks-6-8-1,26,26
561,4,4.176190476,69184.3124,Networks-6-8-1,26,26
1101,8,28.78730159,28651.44768,Networks-6-8-1,26,26
1123,6,7.653968254,27367.16107,Networks-6-8-1,26,26
756,12,78.91904762,21300.5952,Networks-6-8-1,26,26
918,2,2.333333333,43863.24981,Networks-6-8-1,26,26
637,7,9.138888889,80027.23306,Networks-6-8-1,26,26
828,3,1.2,43365.99256,Networks-6-8-1,26,26
880,5,5.926190476,41029.72589,Networks-6-8-1,26,26
1097,4,1.055555556,38727.81445,Networks-6-8-1,26,26
703,6,18.97619048,64838.45491,Networks-6-8-1,26,26
419,2,1,16567.02433,Networks-6-8-1,26,26
1126,5,2.116666667,27940.44892,Networks-6-8-1,26,26
666,1,0,15982.97056,Networks-6-8-1,26,26
795,5,28.10238095,47667.31071,Networks-6-8-1,26,26
1122,3,0.833333333,15132.92101,Networks-6-8-1,26,26
1129,4,4.952380952,171039.9757,Networks-6-8-1,26,26
458,2,1,64915.64323,Networks-6-8-1,26,26
919,6,8.194444444,142881.065,Networks-6-8-1,26,26
895,1,0,46432.55682,Networks-6-8-1,26,26
1157,2,14.35,51388.46964,Networks-6-8-1,26,26
1127,2,4.65,22841.68043,Networks-6-8-1,26,26
703,14,47.54004329,44498.62741,Networks-6-9-1,27,27
1123,8,10.38419913,43051.48629,Networks-6-9-1,27,27
819,10,26.66331169,22004.8313,Networks-6-9-1,27,27
542,7,10.71277056,22122.21706,Networks-6-9-1,27,27
729,1,0,19156.48946,Networks-6-9-1,27,27
637,5,2.83982684,62930.42432,Networks-6-9-1,27,27
2847,4,3.66038961,34791.50848,Networks-6-9-1,27,27
1152,5,3.527056277,21355.42542,Networks-6-9-1,27,27
1167,12,47.64069264,75584.18851,Networks-6-9-1,27,27
633,2,0,49148.7159,Networks-6-9-1,27,27
1166,4,2.339285714,169137.0497,Networks-6-9-1,27,27
888,6,4.333333333,45044.04169,Networks-6-9-1,27,27
1133,4,1.166666667,34165.5649,Networks-6-9-1,27,27
881,3,0.25,46388.75019,Networks-6-9-1,27,27
852,9,22.04902597,88692.28128,Networks-6-9-1,27,27
1157,5,4.916666667,65308.92235,Networks-6-9-1,27,27
543,6,3.894588745,111675.9576,Networks-6-9-1,27,27
1129,1,0,61964.9024,Networks-6-9-1,27,27
853,4,1.041666667,35039.74442,Networks-6-9-1,27,27
758,5,7.676190476,38424.49069,Networks-6-9-1,27,27
605,5,3.19047619,104967.893,Networks-6-9-1,27,27
765,8,30.3047619,53435.31017,Networks-6-9-1,27,27
422,4,1.869047619,32367.17467,Networks-6-9-1,27,27
852,5,0.916666667,301675.2577,Networks-6-13-1,13,17
829,3,8.30952381,143700.7975,Networks-6-13-1,13,17
605,6,3.142857143,52227.74546,Networks-6-13-1,13,17
599,7,9.55952381,95259.67262,Networks-6-13-1,13,17
1166,6,1.30952381,300651.5694,Networks-6-13-1,13,17
880,3,3.892857143,90863.70271,Networks-6-13-1,13,17
542,3,4.833333333,15583.76716,Networks-6-13-1,13,17
633,2,0.5,269949.5198,Networks-6-13-1,13,17
3116,10,32.16666667,14468.52179,Networks-6-13-1,13,17
765,8,22,132317.0515,Networks-6-13-1,13,17
1152,2,0.142857143,159499.3583,Networks-6-13-1,13,17
758,3,0,249149.7528,Networks-6-13-1,13,17
458,4,0.142857143,32716.06051,Networks-6-13-1,13,17
853,2,0.333333333,264771.898,Networks-6-13-1,13,17
459,2,1.75,37316.20788,Networks-6-13-1,13,17
96,5,4.933333333,423015.7749,Networks-6-13-2,14,17
423,7,4.283333333,14618.17816,Networks-6-13-2,14,17
480,10,15.06666667,38630.18469,Networks-6-13-2,14,17
888,7,5.366666667,170933.0883,Networks-6-13-2,14,17
543,5,0.616666667,323108.359,Networks-6-13-2,14,17
1133,6,4.333333333,35549.26549,Networks-6-13-2,14,17
632,7,4.233333333,157496.8989,Networks-6-13-2,14,17
828,6,1.366666667,67604.48324,Networks-6-13-2,14,17
463,3,0.5,240209.5021,Networks-6-13-2,14,17
2847,6,8.933333333,166387.5644,Networks-6-13-2,14,17
1162,2,0.5,28408.45366,Networks-6-13-2,14,17
1071,7,3.666666667,246796.2755,Networks-6-13-2,14,17
418,4,0.5,273804.8694,Networks-6-13-2,14,17
1060,3,0.7,258596.069,Networks-6-13-2,14,17
1070,8,4.216666667,22632.25606,Networks-6-14-1,15,16
598,6,1.9,12526.39971,Networks-6-14-1,15,16
1029,6,3.333333333,23894.7032,Networks-6-14-1,15,16
819,6,1.5,38799.13267,Networks-6-14-1,15,16
419,12,12.05,42496.97965,Networks-6-14-1,15,16
1101,10,8.55,181999.354,Networks-6-14-1,15,16
604,8,4.85,29112.66879,Networks-6-14-1,15,16
636,7,3.35,21890.39625,Networks-6-14-1,15,16
666,7,2.733333333,36990.27618,Networks-6-14-1,15,16
422,6,4.033333333,53356.14488,Networks-6-14-1,15,16
1163,6,2.583333333,32120.28006,Networks-6-14-1,15,16
976,8,5.766666667,23301.62611,Networks-6-14-1,15,16
1126,8,3.85,200802.5581,Networks-6-14-1,15,16
953,6,2.233333333,43126.47602,Networks-6-14-1,15,16
594,5,1.366666667,376532.6026,Networks-6-14-1,15,16
1025,5,1.683333333,12677.41882,Networks-6-14-1,15,16
888,10,17.82583546,144286.4857,Networks-6-14-2,16,28
1067,11,6.475847288,13924.40497,Networks-6-14-2,16,28
1070,17,27.59524745,8901.483127,Networks-6-14-2,16,28
1133,12,18.615003,58284.4963,Networks-6-14-2,16,28
758,10,8.435828355,215768.3416,Networks-6-14-2,16,28
480,12,17.65899542,37598.15715,Networks-6-14-2,16,28
458,9,5.62655696,180674.6572,Networks-6-14-2,16,28
1029,11,12.98336729,35030.44063,Networks-6-14-2,16,28
459,13,7.739142929,29453.09966,Networks-6-14-2,16,28
1127,16,24.26006441,31955.72254,Networks-6-14-2,16,28
1095,13,22.91647568,14256.50996,Networks-6-14-2,16,28
96,5,1.741666667,79243.61181,Networks-6-14-2,16,28
423,12,8.446723662,25954.87966,Networks-6-14-2,16,28
599,11,7.044949495,220425.9384,Networks-6-14-2,16,28
829,11,6.436330539,186696.1609,Networks-6-14-2,16,28
853,10,9.023680908,79062.18162,Networks-6-14-2,16,28
2847,6,3.962540088,144775.5482,Networks-6-14-2,16,28
1034,8,4.431718556,74188.31131,Networks-6-14-2,16,28
880,9,9.531349206,43196.2416,Networks-6-14-2,16,28
594,2,0,307050.5034,Networks-6-14-2,16,28
1071,12,12.1643636,131706.1419,Networks-6-14-2,16,28
795,4,0.814285714,76846.37954,Networks-6-14-2,16,28
1166,13,12.09711697,453993.2505,Networks-6-14-2,16,28
765,9,4.776752822,103238.335,Networks-6-14-2,16,28
75,6,0.45,14521.5308,Networks-6-14-2,16,28
605,13,16.32234801,210503.4408,Networks-6-14-2,16,28
463,4,0.272619048,250014.6031,Networks-6-14-2,16,28
1057,3,0.351190476,150820.064,Networks-6-14-2,16,28
1123,9,3.697619048,5434.528601,Networks-6-17-1,17,27
828,9,10.63452381,7803.005821,Networks-6-17-1,17,27
604,14,17.91430098,18084.96774,Networks-6-17-1,17,27
1152,10,9.375152625,15593.25558,Networks-6-17-1,17,27
819,14,25.02066545,7093.887405,Networks-6-17-1,17,27
1153,7,4.053708791,8848.294046,Networks-6-17-1,17,27
1094,12,11.85735653,8541.498667,Networks-6-17-1,17,27
636,8,6.259722222,9967.613989,Networks-6-17-1,17,27
848,13,17.27699939,10688.53748,Networks-6-17-1,17,27
1025,10,5.319444444,4105.360091,Networks-6-17-1,17,27
1163,6,1.992857143,11836.89677,Networks-6-17-1,17,27
3116,7,1.78452381,23504.60963,Networks-6-17-1,17,27
543,6,3.226465201,328330.5173,Networks-6-17-1,17,27
765,3,0.932539683,69459.99341,Networks-6-17-1,17,27
756,7,3.926724664,7230.536974,Networks-6-17-1,17,27
2847,4,1.787301587,79763.71459,Networks-6-17-1,17,27
633,8,6.553174603,249933.3314,Networks-6-17-1,17,27
867,6,1.177777778,14393.69361,Networks-6-17-1,17,27
463,3,0.125,66324.85484,Networks-6-17-1,17,27
1126,5,1.116666667,17344.61401,Networks-6-17-1,17,27
795,5,1.086111111,75267.54701,Networks-6-17-1,17,27
632,12,15.88136447,137638.3355,Networks-6-17-1,17,27
384,6,6.74859944,67222.48971,Networks-6-21-1,19,27
1070,8,3.091269841,8423.250859,Networks-6-21-1,19,27
604,9,8.919537815,9180.964739,Networks-6-21-1,19,27
756,10,10.38669468,24139.01987,Networks-6-21-1,19,27
1126,10,13.9767507,10703.99948,Networks-6-21-1,19,27
1127,13,7.891946779,36228.60978,Networks-6-21-1,19,27
542,6,5.345238095,84178.32465,Networks-6-21-1,19,27
849,9,3.807936508,15478.07744,Networks-6-21-1,19,27
1163,9,2.563585434,15815.47143,Networks-6-21-1,19,27
819,10,11.1839169,16120.71857,Networks-6-21-1,19,27
